CustomerID,r_score,f_score,m_score,rfm_code,customer_segment
15224,5,4,1,541,"Loyal Customers"
15823,1,1,1,111,"Lost Customers"
17816,5,4,1,541,"Loyal Customers"
18225,5,4,1,541,"Loyal Customers"
17026,2,2,1,221,"Lost Customers"
14576,1,1,1,111,"Lost Customers"
14865,1,1,1,111,"Lost Customers"
12855,1,1,1,111,"Lost Customers"
14589,2,2,1,221,"Lost Customers"
14821,4,3,1,431,"Loyal Customers"
16638,3,2,1,321,"Lost Customers"
13011,1,1,1,111,"Lost Customers"
15899,3,2,1,321,"Lost Customers"
12494,4,4,1,441,"Loyal Customers"
17339,5,4,1,541,"Loyal Customers"
14437,4,4,1,441,"Loyal Customers"
16306,3,3,1,331,"Loyal Customers"
17460,1,5,1,151,"At Risk"
17572,1,1,1,111,"Lost Customers"
18113,3,3,1,331,"Loyal Customers"
12600,2,2,1,221,"Lost Customers"
13747,1,1,1,111,"Lost Customers"
16835,1,1,1,111,"Lost Customers"
15180,3,3,1,331,"Loyal Customers"
12686,2,2,1,221,"Lost Customers"
15769,2,2,1,221,"Lost Customers"
15602,3,2,1,321,"Lost Customers"
13230,4,4,1,441,"Loyal Customers"
16552,1,1,1,111,"Lost Customers"
13880,3,3,1,331,"Loyal Customers"
14898,2,2,1,221,"Lost Customers"
15048,3,2,1,321,"Lost Customers"
13491,1,1,1,111,"Lost Customers"
17802,2,1,1,211,"Lost Customers"
17643,1,1,1,111,"Lost Customers"
17720,3,3,1,331,"Loyal Customers"
14448,5,4,1,541,"Loyal Customers"
15860,3,2,1,321,"Lost Customers"
18011,1,1,1,111,"Lost Customers"
14866,4,3,1,431,"Loyal Customers"
16519,5,4,1,541,"Loyal Customers"
17912,5,5,1,551,"Loyal Customers"
16122,4,3,1,431,"Loyal Customers"
15070,1,1,1,111,"Lost Customers"
13787,5,4,1,541,"Loyal Customers"
17894,4,3,1,431,"Loyal Customers"
16010,5,4,1,541,"Loyal Customers"
14396,2,2,1,221,"Lost Customers"
17917,5,4,1,541,"Loyal Customers"
15081,3,3,1,331,"Loyal Customers"
15018,3,3,1,331,"Loyal Customers"
15271,4,4,1,441,"Loyal Customers"
14037,5,4,1,541,"Loyal Customers"
13807,3,3,1,331,"Loyal Customers"
17430,5,4,1,541,"Loyal Customers"
15867,2,2,1,221,"Lost Customers"
